recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,recordist,license,remarks,background_species,status
XC101288,Spatula discors,Spatula,discors,,Blue-winged Teal,call,male,,0,2012-05-06,08:30,,Rating,44.942,-93.259,250,E,soft 'peeping' from a group of 5 birds that were uncomfortable with my presence and were slowly swimming away.,Creative Commons Attribution-ShareAlike 3.0,soft 'peeping' from a group of 5 birds that were uncomfortable with my presence and were slowly swimming away.,Red-winged Blackbird Agelaius phoeniceus,success
XC101292,Mniotilta varia,Mniotilta,varia,,Black-and-white Warbler,song,,,0,2012-05-06,08:25,,Rating,44.942,-93.259,250,E,None given,Creative Commons Attribution-ShareAlike 3.0,None given,Palm Warbler Setophaga palmarum,success
XC101293,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0,2012-05-06,08:21,,Rating,44.942,-93.259,250,E,Bird seen. Singing from high in the canopy of an Ash tree in urban park.,Creative Commons Attribution-ShareAlike 3.0,Bird seen. Singing from high in the canopy of an Ash tree in urban park.,Tennessee Warbler Leiothlypis peregrina,success
XC101580,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,male,,0,2012-05-19,08:00,,Rating,47.795,-92.079,450,E,Natural song from a male 10m up in a birch tree in campground. Different bird than XC101581.,Creative Commons Attribution-ShareAlike 3.0,Natural song from a male 10m up in a birch tree in campground. Different bird than XC101581.,American Crow Corvus brachyrhynchos,success
XC101581,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0,2012-05-19,12:00,,Rating,47.795,-92.079,450,E,Natural song from an unseen bird along hiking trail. Different bird than XC101580.,Creative Commons Attribution-ShareAlike 3.0,Natural song from an unseen bird along hiking trail. Different bird than XC101580.,Northern Parula Setophaga americana,success
XC101591,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0,2012-05-20,14:00,,Rating,47.795,-92.079,450,E,"natural song, bird not seen.",Creative Commons Attribution-ShareAlike 3.0,"natural song, bird not seen.",Blue-headed Vireo Vireo solitarius,success
XC101593,Setophaga ruticilla,Setophaga,ruticilla,,American Redstart,call,"male, female",,0,2012-05-20,07:00,,Rating,47.795,-92.079,450,E,"calls from a female-plumaged bird in understory vegetation along the edge of the road. Approximately 1m off the ground, 3m from my microphone.",Creative Commons Attribution-ShareAlike 3.0,"calls from a female-plumaged bird in understory vegetation along the edge of the road. Approximately 1m off the ground, 3m from my microphone.",Blue-headed Vireo Vireo solitarius,success
XC101614,Icterus galbula,Icterus,galbula,,Baltimore Oriole,song,male,,0,2012-05-21,06:30,,Rating,44.942,-93.259,250,E,Natural song from a male 20m up in a cottonwood in urban park. Seen.,Creative Commons Attribution-ShareAlike 3.0,Natural song from a male 20m up in a cottonwood in urban park. Seen.,Song Sparrow Melospiza melodia,success
XC102972,Molothrus ater,Molothrus,ater,,Brown-headed Cowbird,song,male,,0,2012-06-01,09:00,,Rating,44.793,-92.962,220,E,Natural 'bubbling' song from a male perched atop a juniper tree in Sandy prairie.,Creative Commons Attribution-ShareAlike 3.0,Natural 'bubbling' song from a male perched atop a juniper tree in Sandy prairie.,American Robin Turdus migratorius,success
XC104520,Euphagus cyanocephalus,Euphagus,cyanocephalus,,Brewer's Blackbird,call,,,0,2012-06-19,10:52,,Rating,43.6405,-103.3732,1200,E,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104521.,Creative Commons Attribution-ShareAlike 3.0,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104521.,Western Meadowlark Sturnella neglecta,success
XC104521,Euphagus cyanocephalus,Euphagus,cyanocephalus,,Brewer's Blackbird,call,,,0,2012-06-19,10:52,,Rating,43.6405,-103.3732,1200,E,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104520.,Creative Commons Attribution-ShareAlike 3.0,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104520.,Western Meadowlark Sturnella neglecta,success
XC109162,Cyanocitta cristata,Cyanocitta,cristata,,Blue Jay,call,,,0,2012-05-19,15:30,,Rating,26.028,-80.413,5,E,"natural vocalization; rattle calls from a single bird perched mid-way up a small pine tree at the edge of a parking lot, near a large marsh. Also one imitation of Red-shouldered hawk near the end of the cut. While giving the rattle calls the bird would perform a bobbing display.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; rattle calls from a single bird perched mid-way up a small pine tree at the edge of a parking lot, near a large marsh. Also one imitation of Red-shouldered hawk near the end of the cut. While giving the rattle calls the bird would perform a bobbing display.",none,success
