recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,quality_flag,description,license,remarks,background_species,local_file_path,file_exists,status
XC101288,Spatula discors,Spatula,discors,,Blue-winged Teal,call,male,,11.07,2012-05-06,08:30,,Rating,44.942,-93.259,250.0,E,poor,soft 'peeping' from a group of 5 birds that were uncomfortable with my presence and were slowly swimming away.,Creative Commons Attribution-ShareAlike 3.0,soft 'peeping' from a group of 5 birds that were uncomfortable with my presence and were slowly swimming away.,Red-winged Blackbird Agelaius phoeniceus,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101288.wav,True,success
XC101292,Mniotilta varia,Mniotilta,varia,,Black-and-white Warbler,song,,,10.08,2012-05-06,08:25,,Rating,44.942,-93.259,250.0,E,poor,None given,Creative Commons Attribution-ShareAlike 3.0,None given,Palm Warbler Setophaga palmarum,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101292.wav,True,success
XC101293,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,41.55,2012-05-06,08:21,,Rating,44.942,-93.259,250.0,E,poor,Bird seen. Singing from high in the canopy of an Ash tree in urban park.,Creative Commons Attribution-ShareAlike 3.0,Bird seen. Singing from high in the canopy of an Ash tree in urban park.,Tennessee Warbler Leiothlypis peregrina,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101293.wav,True,success
XC101580,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,male,,47.22,2012-05-19,08:00,,Rating,47.795,-92.079,450.0,E,poor,Natural song from a male 10m up in a birch tree in campground. Different bird than XC101581.,Creative Commons Attribution-ShareAlike 3.0,Natural song from a male 10m up in a birch tree in campground. Different bird than XC101581.,American Crow Corvus brachyrhynchos,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101580.wav,True,success
XC101581,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,69.31,2012-05-19,12:00,,Rating,47.795,-92.079,450.0,E,poor,Natural song from an unseen bird along hiking trail. Different bird than XC101580.,Creative Commons Attribution-ShareAlike 3.0,Natural song from an unseen bird along hiking trail. Different bird than XC101580.,Northern Parula Setophaga americana,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101581.wav,True,success
XC101591,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,33.25,2012-05-20,14:00,,Rating,47.795,-92.079,450.0,E,poor,"natural song, bird not seen.",Creative Commons Attribution-ShareAlike 3.0,"natural song, bird not seen.",Blue-headed Vireo Vireo solitarius,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101591.wav,True,success
XC101593,Setophaga ruticilla,Setophaga,ruticilla,,American Redstart,call,"male, female",,38.67,2012-05-20,07:00,,Rating,47.795,-92.079,450.0,E,poor,"calls from a female-plumaged bird in understory vegetation along the edge of the road. Approximately 1m off the ground, 3m from my microphone.",Creative Commons Attribution-ShareAlike 3.0,"calls from a female-plumaged bird in understory vegetation along the edge of the road. Approximately 1m off the ground, 3m from my microphone.",Blue-headed Vireo Vireo solitarius,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101593.wav,True,success
XC101614,Icterus galbula,Icterus,galbula,,Baltimore Oriole,song,male,,33.97,2012-05-21,06:30,,Rating,44.942,-93.259,250.0,E,poor,Natural song from a male 20m up in a cottonwood in urban park. Seen.,Creative Commons Attribution-ShareAlike 3.0,Natural song from a male 20m up in a cottonwood in urban park. Seen.,Song Sparrow Melospiza melodia,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC101614.wav,True,success
XC102972,Molothrus ater,Molothrus,ater,,Brown-headed Cowbird,song,male,,8.07,2012-06-01,09:00,,Rating,44.793,-92.962,220.0,E,poor,Natural 'bubbling' song from a male perched atop a juniper tree in Sandy prairie.,Creative Commons Attribution-ShareAlike 3.0,Natural 'bubbling' song from a male perched atop a juniper tree in Sandy prairie.,American Robin Turdus migratorius,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC102972.wav,True,success
XC104520,Euphagus cyanocephalus,Euphagus,cyanocephalus,,Brewer's Blackbird,call,,,13.89,2012-06-19,10:52,,Rating,43.6405,-103.3732,1200.0,E,poor,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104521.,Creative Commons Attribution-ShareAlike 3.0,Natural calls from a bird perched on a fence post in short grass prairie while carrying an insect in its bill. Same individual as XC104521.,Western Meadowlark Sturnella neglecta,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\Audio Recordings\XC104520.wav,True,success
