recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,recordist,license,remarks,background_species,status
XC101288,,,,,,,,,,,,,,,,,,,,,,success
XC101292,,,,,,,,,,,,,,,,,,,,,,success
XC101293,,,,,,,,,,,,,,,,,,,,,,success
XC101580,,,,,,,,,,,,,,,,,,,,,,success
XC101581,,,,,,,,,,,,,,,,,,,,,,success
XC101591,,,,,,,,,,,,,,,,,,,,,,success
XC101593,,,,,,,,,,,,,,,,,,,,,,success
XC101614,,,,,,,,,,,,,,,,,,,,,,success
XC102972,,,,,,,,,,,,,,,,,,,,,,success
XC104520,,,,,,,,,,,,,,,,,,,,,,success
XC104521,,,,,,,,,,,,,,,,,,,,,,success
XC109162,,,,,,,,,,,,,,,,,,,,,,success
XC109190,,,,,,,,,,,,,,,,,,,,,,success
XC109191,,,,,,,,,,,,,,,,,,,,,,success
XC109192,,,,,,,,,,,,,,,,,,,,,,success
XC109299,,,,,,,,,,,,,,,,,,,,,,success
XC109300,,,,,,,,,,,,,,,,,,,,,,success
XC109301,,,,,,,,,,,,,,,,,,,,,,success
XC109305,,,,,,,,,,,,,,,,,,,,,,success
XC109306,,,,,,,,,,,,,,,,,,,,,,success
XC109314,,,,,,,,,,,,,,,,,,,,,,success
XC109601,,,,,,,,,,,,,,,,,,,,,,success
XC109602,,,,,,,,,,,,,,,,,,,,,,success
XC109603,,,,,,,,,,,,,,,,,,,,,,success
XC109606,,,,,,,,,,,,,,,,,,,,,,success
XC109651,,,,,,,,,,,,,,,,,,,,,,success
XC109666,,,,,,,,,,,,,,,,,,,,,,success
XC109668,,,,,,,,,,,,,,,,,,,,,,success
XC109768,,,,,,,,,,,,,,,,,,,,,,success
XC109852,,,,,,,,,,,,,,,,,,,,,,success
XC109920,,,,,,,,,,,,,,,,,,,,,,success
XC109921,,,,,,,,,,,,,,,,,,,,,,success
XC109922,,,,,,,,,,,,,,,,,,,,,,success
XC109923,,,,,,,,,,,,,,,,,,,,,,success
XC109946,,,,,,,,,,,,,,,,,,,,,,success
XC109947,,,,,,,,,,,,,,,,,,,,,,success
XC109948,,,,,,,,,,,,,,,,,,,,,,success
XC109949,,,,,,,,,,,,,,,,,,,,,,success
XC109950,,,,,,,,,,,,,,,,,,,,,,success
XC109951,,,,,,,,,,,,,,,,,,,,,,success
XC110078,,,,,,,,,,,,,,,,,,,,,,success
XC110079,,,,,,,,,,,,,,,,,,,,,,success
XC110080,,,,,,,,,,,,,,,,,,,,,,success
XC110081,,,,,,,,,,,,,,,,,,,,,,success
XC110813,,,,,,,,,,,,,,,,,,,,,,success
XC111040,,,,,,,,,,,,,,,,,,,,,,success
XC111041,,,,,,,,,,,,,,,,,,,,,,success
XC111042,,,,,,,,,,,,,,,,,,,,,,success
XC111043,,,,,,,,,,,,,,,,,,,,,,success
XC111138,,,,,,,,,,,,,,,,,,,,,,success
XC111139,,,,,,,,,,,,,,,,,,,,,,success
XC112499,,,,,,,,,,,,,,,,,,,,,,success
XC112501,,,,,,,,,,,,,,,,,,,,,,success
XC112502,,,,,,,,,,,,,,,,,,,,,,success
XC112579,,,,,,,,,,,,,,,,,,,,,,success
XC112598,,,,,,,,,,,,,,,,,,,,,,success
XC112829,,,,,,,,,,,,,,,,,,,,,,success
XC113485,,,,,,,,,,,,,,,,,,,,,,success
XC113486,,,,,,,,,,,,,,,,,,,,,,success
XC113721,,,,,,,,,,,,,,,,,,,,,,success
XC113723,,,,,,,,,,,,,,,,,,,,,,success
XC113724,,,,,,,,,,,,,,,,,,,,,,success
XC113808,,,,,,,,,,,,,,,,,,,,,,success
XC113814,,,,,,,,,,,,,,,,,,,,,,success
XC113820,,,,,,,,,,,,,,,,,,,,,,success
XC113821,,,,,,,,,,,,,,,,,,,,,,success
XC113827,,,,,,,,,,,,,,,,,,,,,,success
XC114061,,,,,,,,,,,,,,,,,,,,,,success
XC114073,,,,,,,,,,,,,,,,,,,,,,success
XC114081,,,,,,,,,,,,,,,,,,,,,,success
XC114085,,,,,,,,,,,,,,,,,,,,,,success
XC114086,,,,,,,,,,,,,,,,,,,,,,success
XC114087,,,,,,,,,,,,,,,,,,,,,,success
XC114342,,,,,,,,,,,,,,,,,,,,,,success
XC114550,,,,,,,,,,,,,,,,,,,,,,success
XC114551,,,,,,,,,,,,,,,,,,,,,,success
XC114552,,,,,,,,,,,,,,,,,,,,,,success
XC114554,,,,,,,,,,,,,,,,,,,,,,success
XC114555,,,,,,,,,,,,,,,,,,,,,,success
XC114556,,,,,,,,,,,,,,,,,,,,,,success
XC114557,,,,,,,,,,,,,,,,,,,,,,success
XC114558,,,,,,,,,,,,,,,,,,,,,,success
XC114559,,,,,,,,,,,,,,,,,,,,,,success
XC114560,,,,,,,,,,,,,,,,,,,,,,success
XC114561,,,,,,,,,,,,,,,,,,,,,,success
XC11476,,,,,,,,,,,,,,,,,,,,,,success
XC114930,,,,,,,,,,,,,,,,,,,,,,success
