recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,quality_flag,description,license,remarks,background_species,status
XC171555,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,male,adult,0.0,2014-03-29,10:15,,Rating,30.5676,-96.2118,70.0,,unknown,Recording was amplified in an attempt to make the song easier to hear and to reduce some of the background noise. Bird was seen in Cedar Elms with Spanish Moss in a foraging flock with Northern Parulas and Yellow-rumped Warblers. Adult male bird.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Recording was amplified in an attempt to make the song easier to hear and to reduce some of the background noise. Bird was seen in Cedar Elms with Spanish Moss in a foraging flock with Northern Parulas and Yellow-rumped Warblers. Adult male bird.,noise. Bird was seen in Cedar Elms with Spanish Moss in a foraging flock with Northern Parulas and Yellow-rumped Warblers. Adult male bird.,success
XC171727,Turdus migratorius,Turdus,migratorius,,American Robin,song,,,0.0,2014-03-31,06:21,,Rating,39.9976,-105.1179,1600.0,,unknown,A robin singing in my yard.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,A robin singing in my yard.,none,success
XC171844,Pheucticus melanocephalus,Pheucticus,melanocephalus,,Black-headed Grosbeak,song,,,0.0,2011-05-18,06:00,,Rating,48.4832,-123.3604,60.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC171991,Scolopax minor,Scolopax,minor,,American Woodcock,call,male,,0.0,2014-03-26,20:15,,Rating,40.0845,-83.0526,260.0,,unknown,"First of three recordings from the same location on 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before returning to the same site. Habitat: Mixed brush, sparse trees and heavily impacted grassland mix. Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal. WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-1-3. eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"First of three recordings from the same location on 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before returning to the same site. Habitat: Mixed brush, sparse trees and heavily impacted grassland",Song Sparrow Melospiza melodia,success
XC171994,Scolopax minor,Scolopax,minor,,American Woodcock,call,male,,0.0,2014-03-26,20:15,,Rating,40.0845,-83.0526,260.0,,unknown,"Second of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then (in this recording) flying off giving twittering areal display calls before (not in this recording) returning to the same site. Habitat: Mixed brush, sparse trees and heavily impacted grassland mix. Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal. WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-1-3. eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Second of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then (in this recording) flying off giving twittering areal display calls before (not in this recording) returning to the same site. Habitat: Mixed brush, sparse trees and he",Canada Goose Branta canadensis,success
XC171997,Scolopax minor,Scolopax,minor,,American Woodcock,call,male,,0.0,2014-03-26,20:15,,Rating,40.0845,-83.0526,260.0,,unknown,"Last of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before (in this recording) returning to the same site (It lands around 0:20 then resumes ""peent""ing). Shortly after this, around 1:10, a Great Horned Owl flew over, silencing all but one distant bird for at least the next 10 minutes. Habitat: Mixed brush, sparse trees and heavily impacted grassland mix. Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal. WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-3-3. eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Last of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH. There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before (in this recording) returning to the same site (It lands around 0:20 then resumes ""peent""ing). Shortly after this, ",none,success
XC172405,Turdus migratorius,Turdus,migratorius,,American Robin,call,,,0.0,2012-06-22,06:30,,Rating,39.6564,-120.5342,2100.0,,unknown,Very peculiar whinny call that ends in a flourish of sweet sung notes. Habitat is montane Jeffrey pine forest interspersed with meadows and clearcuts.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Very peculiar whinny call that ends in a flourish of sweet sung notes. Habitat is montane Jeffrey pine forest interspersed with meadows and clearcuts.,Steller's Jay Cyanocitta stelleri,success
XC172420,Pica hudsonia,Pica,hudsonia,,Black-billed Magpie,call,,,0.0,2013-03-28,07:58,,Rating,40.0284,-105.2964,1800.0,,unknown,Single individual making 'maag?' calls. Habitat is foothill ponderosa pine woodland.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Single individual making 'maag?' calls. Habitat is foothill ponderosa pine woodland.,none,success
XC172423,Turdus migratorius,Turdus,migratorius,,American Robin,song,,,0.0,2013-03-28,19:48,,Rating,40.0329,-105.2916,1700.0,,unknown,Song given at dusk. Habitat is residential suburbia with mature trees near base of the foothills.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Song given at dusk. Habitat is residential suburbia with mature trees near base of the foothills.,none,success
XC172427,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0.0,2013-03-30,08:20,,Rating,39.9581,-105.34,2200.0,,unknown,"Occasional gaps of silence removed. Range ~25m, in taller pines away from the meadows. 2 individuals widely separated, calling at each other. Habitat is ponderosa pine woodland/forest in Front Range pediment.",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Occasional gaps of silence removed. Range ~25m, in taller pines away from the meadows. 2 individuals widely separated, calling at each other. Habitat is ponderosa pine woodland/forest in Front Range pediment.",American Crow Corvus brachyrhynchos,success
XC172486,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0.0,2013-05-11,18:27,,Rating,39.1971,-109.033,1500.0,,unknown,Soft contact call notes from a bird moving among the rocks below the canyon rim. Noise below 100 Hz filtered. Habitat is desert canyon with scrub.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Soft contact call notes from a bird moving among the rocks below the canyon rim. Noise below 100 Hz filtered. Habitat is desert canyon with scrub.,none,success
XC172487,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,song,,,0.0,2013-05-11,18:27,,Rating,39.1971,-109.033,1500.0,,unknown,"Same session as XC172486. Typical song from a bird moving among the rocks below the canyon rim. Noise below 100 Hz filtered, and signal amplified. Habitat is desert canyon with scrub.",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Same session as XC172486. Typical song from a bird moving among the rocks below the canyon rim. Noise below 100 Hz filtered, and signal amplified. Habitat is desert canyon with scrub.",Northern Mockingbird Mimus polyglottos,success
XC172656,Myiarchus cinerascens,Myiarchus,cinerascens,,Ash-throated Flycatcher,song,,,0.0,2013-05-26,10:25,,Rating,37.1388,-103.0875,1500.0,,unknown,Perched on a juniper near the rimrock 60m from recordist. Some wind buffeting with noise filtered below 100 Hz. Habitat is semi-arid grassland and juniper woodland.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Perched on a juniper near the rimrock 60m from recordist. Some wind buffeting with noise filtered below 100 Hz. Habitat is semi-arid grassland and juniper woodland.,Yellow-breasted Chat Icteria virens,success
