xc_id,species_scientific,species_english,country,location,latitude,longitude,date,time,recordist,quality,length,type,scraped_at,length_seconds,url,file_name
420882,Setophaga ruticilla,American Redstart,United States,"Danby (near  Spencer), Tompkins County, New York",42.3097,,2018-06-14,08:00,GABRIEL LEITE,A,0:48,song,2026-02-19T14:11:11.812766,,,
370490,Polioptila caerulea,Blue-grey Gnatcatcher,United States,"Konza Prairie Nature Preserve, Riley County, Kansas",39.107,,2017-05-12,06:00,Eric DeFonso,A,1:03,call,2026-02-19T14:11:13.331123,,,
50588,Dolichonyx oryzivorus,Bobolink,Argentina,"San Javier,  Santa Fe",-30.583027,,2006-03-15,?:?,Bernabe Lopez-Lanus,B,0:58,song,2026-02-19T14:11:15.333742,,,
309933,Polioptila caerulea,Blue-grey Gnatcatcher,United States,"Vacaville, Solano County, California",38.4306,,2016-03-31,09:00,Steve Hampton,B,0:43,song,2026-02-19T14:11:17.400854,,,
153552,Spinus tristis,American Goldfinch,United States,"Falmouth, Barnstable, Massachusetts",41.5221,,2013-05-01,12:00,Mike Schanbacher,B,0:09,call,2026-02-19T14:11:19.330977,,,
358548,Psaltriparus minimus,American Bushtit,United States,"Las Bancas-Horsethief Road (near  Alpine), San Diego County, California",32.7507,,2017-02-10,07:03,Paul Marvin,B,0:17,call,2026-02-19T14:11:21.194755,,,
417864,Botaurus lentiginosus,American Bittern,United States,Battelle Darby Metro Park - Wetlands,39.919,,2018-05-06,08:55,Sue Riffe,A,0:09,song,2026-02-19T14:11:23.090358,,,
241103,Vermivora cyanoptera,Blue-winged Warbler,United States,"Forestville/Mystery Cave State Park, Fillmore County, Minnesota",43.6178,,2015-05-09,06:30,Jonathon Jongsma,B,1:43,song,2026-02-19T14:11:25.010340,,,
140282,Riparia riparia,Sand Martin,Canada,"Foam Lake No. 276 (near  Leslie), Division No. 10, Saskatchewan",51.7772,,2013-06-24,14:34,Patrick Turgeon,B,10:00,"call, song",2026-02-19T14:11:26.932539,,,
132248,Calypte anna,Anna's Hummingbird,United States,"Portal, Arizona",31.906,,2008-10-02,10:27,Richard E. Webster,A,0:23,song,2026-02-19T14:11:28.865631,,,
