recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,quality_flag,description,license,remarks,background_species,local_file_path,file_exists,status
XC134502,,,,,,,,,14.45,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134502.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134504,,,,,,,,,31.65,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134504.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134505,,,,,,,,,5.55,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134505.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134872,,,,,,,,,62.45,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134872.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134874,,,,,,,,,24.54,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134874.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134876,,,,,,,,,109.55,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134876.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC134994,,,,,,,,,3.76,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC134994.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC135026,,,,,,,,,39.2,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC135026.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC135052,,,,,,,,,21.58,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC135052.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
XC135053,,,,,,,,,107.58,,,,,,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XCXC135053.wav,False,"error: Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=144.0.7559.133)
Stack"
