recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,quality_flag,description,license,remarks,background_species,local_file_path,file_exists,status,issue_no_species,issue_no_english_name,issue_no_audio_file,issue_no_duration,issue_no_date,issue_no_time,issue_no_country,issue_no_latitude,issue_no_longitude,issue_no_coordinates,issue_no_quality,issue_scrape_failed,has_critical_issue,has_any_issue,issue_count
101288,Spatula discors,Spatula,discors,,Blue-winged Teal,,,,11.07,,30,,,44.942,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101288.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101292,Mniotilta varia,Mniotilta,varia,,Black-and-white Warbler,,,,10.08,,25,,,44.942,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101292.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101293,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,,,,41.55,,21,,,44.942,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101293.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101580,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,,,,47.22,,00,,,47.795,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101580.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101581,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,,,,69.31,,00,,,47.795,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101581.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101591,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,,,,33.25,,00,,,47.795,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101591.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101593,Setophaga ruticilla,Setophaga,ruticilla,,American Redstart,,,,38.67,,00,,,47.795,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101593.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
101614,Icterus galbula,Icterus,galbula,,Baltimore Oriole,,,,33.97,,30,,,44.942,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC101614.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
102972,Molothrus ater,Molothrus,ater,,Brown-headed Cowbird,,,,8.07,,00,,,44.793,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC102972.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
104520,Euphagus cyanocephalus,Euphagus,cyanocephalus,,Brewer's Blackbird,,,,13.89,,52,,,43.6405,,,,unknown,,,,,C:\Users\prana\OneDrive\Desktop\ML Conf-BioFSL\01_Raw_Data\Audio_Recordings\XC104520.wav,True,success,False,False,False,False,True,False,True,False,True,True,True,False,False,True,5
