recording_id,filename,duration_sec,original_sample_rate,original_channels,format,valid,error
XC101288,XC101288.wav,11.07,32000,1,WAV,True,
XC101292,XC101292.wav,10.08,32000,1,WAV,True,
XC101293,XC101293.wav,41.55,32000,1,WAV,True,
XC101580,XC101580.wav,47.22,32000,1,WAV,True,
XC101581,XC101581.wav,69.31,32000,1,WAV,True,
XC101591,XC101591.wav,33.25,32000,1,WAV,True,
XC101593,XC101593.wav,38.67,32000,1,WAV,True,
XC101614,XC101614.wav,33.97,32000,1,WAV,True,
XC102972,XC102972.wav,8.07,32000,1,WAV,True,
XC104520,XC104520.wav,13.89,32000,1,WAV,True,
XC104521,XC104521.wav,8.29,32000,1,WAV,True,
XC109162,XC109162.wav,84.93,32000,1,WAV,True,
XC109190,XC109190.wav,23.28,32000,1,WAV,True,
XC109191,XC109191.wav,20.05,32000,1,WAV,True,
XC109192,XC109192.wav,51.14,32000,1,WAV,True,
XC109299,XC109299.wav,114.62,32000,1,WAV,True,
XC109300,XC109300.wav,43.81,32000,1,WAV,True,
XC109301,XC109301.wav,11.54,32000,1,WAV,True,
XC109305,XC109305.wav,40.27,32000,1,WAV,True,
XC109306,XC109306.wav,27.98,32000,1,WAV,True,
XC109314,XC109314.wav,4.85,32000,1,WAV,True,
XC109601,XC109601.wav,2.3,32000,1,WAV,True,
XC109602,XC109602.wav,79.84,32000,1,WAV,True,
XC109603,XC109603.wav,43.42,32000,1,WAV,True,
XC109606,XC109606.wav,60.5,32000,1,WAV,True,
XC109651,XC109651.wav,13.33,32000,1,WAV,True,
XC109666,XC109666.wav,42.62,32000,1,WAV,True,
XC109668,XC109668.wav,10.32,32000,1,WAV,True,
XC109768,XC109768.wav,7.66,32000,1,WAV,True,
XC109852,XC109852.wav,73.56,32000,1,WAV,True,
XC109920,XC109920.wav,88.96,32000,1,WAV,True,
XC109921,XC109921.wav,11.22,32000,1,WAV,True,
XC109922,XC109922.wav,2.72,32000,1,WAV,True,
XC109923,XC109923.wav,19.71,32000,1,WAV,True,
XC109946,XC109946.wav,62.94,32000,1,WAV,True,
XC109947,XC109947.wav,6.22,32000,1,WAV,True,
XC109948,XC109948.wav,37.66,32000,1,WAV,True,
XC109949,XC109949.wav,88.63,32000,1,WAV,True,
XC109950,XC109950.wav,25.44,32000,1,WAV,True,
XC109951,XC109951.wav,15.63,32000,1,WAV,True,
XC110078,XC110078.wav,46.64,32000,1,WAV,True,
XC110079,XC110079.wav,15.24,32000,1,WAV,True,
XC110080,XC110080.wav,29.1,32000,1,WAV,True,
XC110081,XC110081.wav,52.05,32000,1,WAV,True,
XC110813,XC110813.wav,3.5,32000,1,WAV,True,
XC111040,XC111040.wav,33.15,32000,1,WAV,True,
XC111041,XC111041.wav,30.98,32000,1,WAV,True,
XC111042,XC111042.wav,27.32,32000,1,WAV,True,
XC111043,XC111043.wav,37.74,32000,1,WAV,True,
XC111138,XC111138.wav,13.46,32000,1,WAV,True,
XC111139,XC111139.wav,14.54,32000,1,WAV,True,
XC112499,XC112499.wav,7.38,32000,1,WAV,True,
XC112501,XC112501.wav,30.61,32000,1,WAV,True,
XC112502,XC112502.wav,31.2,32000,1,WAV,True,
XC112579,XC112579.wav,13.72,32000,1,WAV,True,
XC112598,XC112598.wav,107.12,32000,1,WAV,True,
XC112829,XC112829.wav,36.03,32000,1,WAV,True,
XC113485,XC113485.wav,4.61,32000,1,WAV,True,
XC113486,XC113486.wav,23.95,32000,1,WAV,True,
XC113721,XC113721.wav,19.59,32000,1,WAV,True,
XC113723,XC113723.wav,14.58,32000,1,WAV,True,
XC113724,XC113724.wav,19.59,32000,1,WAV,True,
XC113808,XC113808.wav,45.62,32000,1,WAV,True,
XC113814,XC113814.wav,24.53,32000,1,WAV,True,
XC113820,XC113820.wav,68.26,32000,1,WAV,True,
XC113821,XC113821.wav,35.7,32000,1,WAV,True,
XC113827,XC113827.wav,69.02,32000,1,WAV,True,
XC114061,XC114061.wav,26.41,32000,1,WAV,True,
XC114073,XC114073.wav,18.96,32000,1,WAV,True,
XC114081,XC114081.wav,16.08,32000,1,WAV,True,
XC114085,XC114085.wav,6.21,32000,1,WAV,True,
XC114086,XC114086.wav,38.75,32000,1,WAV,True,
XC114087,XC114087.wav,27.7,32000,1,WAV,True,
XC114342,XC114342.wav,136.97,32000,1,WAV,True,
XC114550,XC114550.wav,16.27,32000,1,WAV,True,
XC114551,XC114551.wav,6.8,32000,1,WAV,True,
XC114552,XC114552.wav,14.14,32000,1,WAV,True,
XC114554,XC114554.wav,3.68,32000,1,WAV,True,
XC114555,XC114555.wav,5.09,32000,1,WAV,True,
XC114556,XC114556.wav,25.81,32000,1,WAV,True,
XC114557,XC114557.wav,15.47,32000,1,WAV,True,
XC114558,XC114558.wav,4.56,32000,1,WAV,True,
XC114559,XC114559.wav,29.57,32000,1,WAV,True,
XC114560,XC114560.wav,19.1,32000,1,WAV,True,
XC114561,XC114561.wav,5.89,32000,1,WAV,True,
XC11476,XC11476.wav,1.39,32000,1,WAV,True,
XC114930,XC114930.wav,29.22,32000,1,WAV,True,
XC115430,XC115430.wav,24.36,32000,1,WAV,True,
XC115587,XC115587.wav,20.11,32000,1,WAV,True,
XC115594,XC115594.wav,46.18,32000,1,WAV,True,
XC115938,XC115938.wav,49.63,32000,1,WAV,True,
XC115939,XC115939.wav,48.15,32000,1,WAV,True,
XC115940,XC115940.wav,23.78,32000,1,WAV,True,
XC116054,XC116054.wav,23.41,32000,1,WAV,True,
XC116055,XC116055.wav,82.08,32000,1,WAV,True,
XC116056,XC116056.wav,16.51,32000,1,WAV,True,
XC116372,XC116372.wav,2.7,32000,1,WAV,True,
XC116373,XC116373.wav,13.28,32000,1,WAV,True,
XC116374,XC116374.wav,8.83,32000,1,WAV,True,
XC11722,XC11722.wav,11.33,32000,1,WAV,True,
XC11847,XC11847.wav,12.95,32000,1,WAV,True,
XC118749,XC118749.wav,1.07,32000,1,WAV,True,
XC119593,XC119593.wav,3.87,32000,1,WAV,True,
XC120285,XC120285.wav,2.14,32000,1,WAV,True,
XC120809,XC120809.wav,41.06,32000,1,WAV,True,
XC120842,XC120842.wav,105.0,32000,1,WAV,True,
XC120843,XC120843.wav,114.07,32000,1,WAV,True,
XC120844,XC120844.wav,56.54,32000,1,WAV,True,
XC120855,XC120855.wav,52.92,32000,1,WAV,True,
XC120868,XC120868.wav,40.39,32000,1,WAV,True,
XC120878,XC120878.wav,32.8,32000,1,WAV,True,
XC121042,XC121042.wav,125.11,32000,1,WAV,True,
XC121043,XC121043.wav,18.46,32000,1,WAV,True,
XC121044,XC121044.wav,18.42,32000,1,WAV,True,
XC121045,XC121045.wav,5.15,32000,1,WAV,True,
XC121046,XC121046.wav,24.11,32000,1,WAV,True,
XC121068,XC121068.wav,34.77,32000,1,WAV,True,
XC121396,XC121396.wav,65.04,32000,1,WAV,True,
XC121435,XC121435.wav,24.81,32000,1,WAV,True,
XC122259,XC122259.wav,54.21,32000,1,WAV,True,
XC122442,XC122442.wav,23.8,32000,1,WAV,True,
XC122453,XC122453.wav,2.16,32000,1,WAV,True,
XC122455,XC122455.wav,23.74,32000,1,WAV,True,
XC122640,XC122640.wav,96.19,32000,1,WAV,True,
XC122641,XC122641.wav,88.53,32000,1,WAV,True,
XC122806,XC122806.wav,37.66,32000,1,WAV,True,
