chunk_filename,rms,peak,quality
XC101288_chunk_001.wav,0.089042,0.6569,good
XC101288_chunk_002.wav,0.097848,0.7136,good
XC101288_chunk_003.wav,0.108716,0.7808,good
XC101288_chunk_004.wav,0.104781,0.95,good
XC101292_chunk_001.wav,0.11997,0.95,good
XC101292_chunk_002.wav,0.049149,0.47,good
XC101292_chunk_003.wav,0.116733,0.9245,good
XC101292_chunk_004.wav,0.11599,0.9245,good
XC101293_chunk_001.wav,0.082299,0.5875,good
XC101293_chunk_002.wav,0.051265,0.5875,good
XC101293_chunk_003.wav,0.024473,0.3112,good
XC101293_chunk_004.wav,0.05243,0.3849,good
XC101293_chunk_005.wav,0.051926,0.3849,good
XC101293_chunk_006.wav,0.027745,0.277,good
XC101293_chunk_007.wav,0.103066,0.95,good
XC101293_chunk_008.wav,0.109094,0.95,good
XC101293_chunk_009.wav,0.046477,0.3138,good
XC101293_chunk_010.wav,0.053347,0.3488,good
XC101293_chunk_011.wav,0.080548,0.6592,good
XC101293_chunk_012.wav,0.070152,0.6592,good
XC101293_chunk_013.wav,0.048405,0.5112,good
XC101293_chunk_014.wav,0.069566,0.5239,good
XC101293_chunk_015.wav,0.064437,0.5239,good
XC101293_chunk_016.wav,0.049941,0.4099,good
XC101580_chunk_001.wav,0.091614,0.6344,good
XC101580_chunk_002.wav,0.11946,0.95,good
XC101580_chunk_003.wav,0.123046,0.95,good
XC101580_chunk_004.wav,0.117247,0.6442,good
XC101580_chunk_005.wav,0.109981,0.6294,good
XC101580_chunk_006.wav,0.073114,0.6294,good
XC101580_chunk_007.wav,0.071181,0.6703,good
XC101580_chunk_008.wav,0.10093,0.6703,good
XC101580_chunk_009.wav,0.080097,0.6615,good
XC101580_chunk_010.wav,0.088862,0.6293,good
XC101580_chunk_011.wav,0.091255,0.6293,good
XC101580_chunk_012.wav,0.081654,0.6917,good
XC101580_chunk_013.wav,0.087738,0.6917,good
XC101580_chunk_014.wav,0.083321,0.7348,good
XC101580_chunk_015.wav,0.120307,0.7348,good
XC101580_chunk_016.wav,0.119738,0.7287,good
XC101580_chunk_017.wav,0.113397,0.8094,good
XC101580_chunk_018.wav,0.119012,0.8094,good
XC101581_chunk_001.wav,0.082258,0.7498,good
XC101581_chunk_002.wav,0.038928,0.7498,good
XC101581_chunk_003.wav,0.009917,0.0416,good
XC101581_chunk_004.wav,0.010447,0.0778,good
XC101581_chunk_005.wav,0.093076,0.7448,good
XC101581_chunk_006.wav,0.093181,0.7448,good
XC101581_chunk_007.wav,0.01336,0.0931,good
XC101581_chunk_008.wav,0.013754,0.0931,good
XC101581_chunk_009.wav,0.013277,0.0571,good
XC101581_chunk_010.wav,0.057799,0.5366,good
XC101581_chunk_011.wav,0.057683,0.5366,good
XC101581_chunk_012.wav,0.012257,0.0621,good
XC101581_chunk_013.wav,0.055142,0.5891,good
XC101581_chunk_014.wav,0.076018,0.6544,good
XC101581_chunk_015.wav,0.053837,0.6544,good
XC101581_chunk_016.wav,0.013351,0.0873,good
XC101581_chunk_017.wav,0.068112,0.551,good
XC101581_chunk_018.wav,0.068143,0.551,good
XC101581_chunk_019.wav,0.013343,0.0627,good
XC101581_chunk_020.wav,0.012796,0.0587,good
XC101581_chunk_021.wav,0.017397,0.95,good
XC101581_chunk_022.wav,0.092272,0.95,good
XC101581_chunk_023.wav,0.091581,0.8368,good
XC101581_chunk_024.wav,0.016924,0.1201,good
XC101581_chunk_025.wav,0.018331,0.1201,good
XC101581_chunk_026.wav,0.111889,0.9241,good
XC101581_chunk_027.wav,0.11155,0.9241,good
XC101591_chunk_001.wav,0.061191,0.4709,good
XC101591_chunk_002.wav,0.037589,0.442,good
XC101591_chunk_003.wav,0.041824,0.3752,good
XC101591_chunk_004.wav,0.134118,0.95,good
XC101591_chunk_005.wav,0.133127,0.95,good
XC101591_chunk_006.wav,0.05525,0.4547,good
XC101591_chunk_007.wav,0.081097,0.6303,good
XC101591_chunk_008.wav,0.076061,0.6303,good
XC101591_chunk_009.wav,0.062143,0.5061,good
XC101591_chunk_010.wav,0.057499,0.5061,good
XC101591_chunk_011.wav,0.057841,0.4576,good
XC101591_chunk_012.wav,0.062245,0.4576,good
XC101591_chunk_013.wav,0.048448,0.4011,good
XC101593_chunk_001.wav,0.03024,0.95,good
XC101593_chunk_002.wav,0.031616,0.8264,good
XC101593_chunk_003.wav,0.039556,0.8264,good
XC101593_chunk_004.wav,0.039422,0.794,good
XC101593_chunk_005.wav,0.038399,0.794,good
XC101593_chunk_006.wav,0.040043,0.6436,good
XC101593_chunk_007.wav,0.033679,0.6436,good
XC101593_chunk_008.wav,0.031569,0.9242,good
XC101593_chunk_009.wav,0.033165,0.9242,good
XC101593_chunk_010.wav,0.029809,0.6656,good
XC101593_chunk_011.wav,0.038955,0.8019,good
XC101593_chunk_012.wav,0.033604,0.8019,good
XC101593_chunk_013.wav,0.029977,0.9299,good
XC101593_chunk_014.wav,0.037258,0.9299,good
XC101593_chunk_015.wav,0.028516,0.6495,good
XC101614_chunk_001.wav,0.118021,0.8641,good
XC101614_chunk_002.wav,0.041152,0.6129,good
XC101614_chunk_003.wav,0.018913,0.1168,good
XC101614_chunk_004.wav,0.128863,0.95,good
XC101614_chunk_005.wav,0.129023,0.95,good
XC101614_chunk_006.wav,0.02003,0.1806,good
XC101614_chunk_007.wav,0.019356,0.1182,good
XC101614_chunk_008.wav,0.018529,0.1182,good
XC101614_chunk_009.wav,0.018255,0.105,good
XC101614_chunk_010.wav,0.018602,0.132,good
XC101614_chunk_011.wav,0.019227,0.132,good
XC101614_chunk_012.wav,0.099597,0.9251,good
XC101614_chunk_013.wav,0.099107,0.9251,good
XC102972_chunk_001.wav,0.067832,0.5337,good
XC102972_chunk_002.wav,0.102724,0.95,good
XC102972_chunk_003.wav,0.099546,0.95,good
XC104520_chunk_001.wav,0.02665,0.6201,good
XC104520_chunk_002.wav,0.031284,0.6201,good
XC104520_chunk_003.wav,0.030766,0.5387,good
XC104520_chunk_004.wav,0.040893,0.8967,good
XC104520_chunk_005.wav,0.048973,0.95,good
XC104521_chunk_001.wav,0.057692,0.95,good
XC104521_chunk_002.wav,0.047273,0.832,good
XC104521_chunk_003.wav,0.038164,0.832,good
XC109162_chunk_001.wav,0.01544,0.8821,good
XC109162_chunk_002.wav,0.000521,0.0025,silent
XC109162_chunk_003.wav,0.000431,0.0024,silent
XC109162_chunk_004.wav,0.000333,0.0017,silent
XC109162_chunk_005.wav,0.004825,0.2479,low_energy
XC109162_chunk_006.wav,0.004829,0.2479,low_energy
XC109162_chunk_007.wav,0.000402,0.0107,silent
XC109162_chunk_008.wav,0.005374,0.1281,good
XC109162_chunk_009.wav,0.005373,0.1281,good
XC109162_chunk_010.wav,0.00041,0.0023,silent
XC109162_chunk_011.wav,0.014555,0.95,good
XC109162_chunk_012.wav,0.014554,0.95,good
XC109162_chunk_013.wav,0.000383,0.0017,silent
XC109162_chunk_014.wav,0.000386,0.0017,silent
XC109162_chunk_015.wav,0.000379,0.0017,silent
XC109162_chunk_016.wav,0.000389,0.0016,silent
XC109162_chunk_017.wav,0.00038,0.0044,silent
XC109162_chunk_018.wav,0.00034,0.0044,silent
XC109162_chunk_019.wav,0.00034,0.0015,silent
XC109162_chunk_020.wav,0.000363,0.0019,silent
XC109162_chunk_021.wav,0.000408,0.0027,silent
XC109162_chunk_022.wav,0.042731,0.4776,good
XC109162_chunk_023.wav,0.057914,0.4776,good
XC109162_chunk_024.wav,0.039092,0.3684,good
XC109162_chunk_025.wav,0.000238,0.0027,silent
XC109162_chunk_026.wav,0.000306,0.0072,silent
XC109162_chunk_027.wav,0.000369,0.0072,silent
XC109162_chunk_028.wav,0.000338,0.002,silent
XC109162_chunk_029.wav,0.000281,0.0013,silent
XC109162_chunk_030.wav,0.000262,0.0011,silent
XC109162_chunk_031.wav,0.000284,0.0013,silent
XC109162_chunk_032.wav,0.006684,0.5135,good
XC109162_chunk_033.wav,0.006691,0.5135,good
XC109190_chunk_001.wav,0.177889,0.95,good
XC109190_chunk_002.wav,0.173076,0.95,good
XC109190_chunk_003.wav,0.130125,0.7769,good
XC109190_chunk_004.wav,0.118623,0.8642,good
XC109190_chunk_005.wav,0.110993,0.8642,good
XC109190_chunk_006.wav,0.090018,0.7655,good
XC109190_chunk_007.wav,0.059425,0.4533,good
XC109190_chunk_008.wav,0.04951,0.4533,good
XC109190_chunk_009.wav,0.023901,0.2845,good
XC109191_chunk_001.wav,0.019636,0.2883,good
XC109191_chunk_002.wav,0.016933,0.2883,good
XC109191_chunk_003.wav,0.017231,0.2092,good
XC109191_chunk_004.wav,0.022454,0.3719,good
XC109191_chunk_005.wav,0.055747,0.95,good
XC109191_chunk_006.wav,0.059097,0.95,good
XC109191_chunk_007.wav,0.028531,0.5713,good
XC109191_chunk_008.wav,0.01335,0.2178,good
XC109192_chunk_001.wav,0.046029,0.5739,good
XC109192_chunk_002.wav,0.060067,0.5739,good
XC109192_chunk_003.wav,0.055985,0.5111,good
XC109192_chunk_004.wav,0.048519,0.376,good
XC109192_chunk_005.wav,0.07055,0.8553,good
XC109192_chunk_006.wav,0.084436,0.95,good
XC109192_chunk_007.wav,0.063365,0.95,good
XC109192_chunk_008.wav,0.04347,0.8097,good
XC109192_chunk_009.wav,0.045048,0.9226,good
XC109192_chunk_010.wav,0.039767,0.9226,good
XC109192_chunk_011.wav,0.031712,0.6462,good
XC109192_chunk_012.wav,0.023697,0.3295,good
XC109192_chunk_013.wav,0.021633,0.3738,good
XC109192_chunk_014.wav,0.021533,0.3738,good
XC109192_chunk_015.wav,0.0336,0.4723,good
XC109192_chunk_016.wav,0.045724,0.6723,good
XC109192_chunk_017.wav,0.044679,0.6723,good
XC109192_chunk_018.wav,0.054937,0.6916,good
XC109192_chunk_019.wav,0.051664,0.6916,good
XC109192_chunk_020.wav,0.02387,0.3913,good
XC109299_chunk_001.wav,0.044701,0.7082,good
XC109299_chunk_002.wav,0.013504,0.2425,good
XC109299_chunk_003.wav,0.014649,0.2425,good
XC109299_chunk_004.wav,0.006043,0.0992,good
XC109299_chunk_005.wav,0.008485,0.0856,good
XC109299_chunk_006.wav,0.008558,0.0856,good
XC109299_chunk_007.wav,0.006214,0.1396,good
XC109299_chunk_008.wav,0.006911,0.1396,good
XC109299_chunk_009.wav,0.06332,0.95,good
XC109299_chunk_010.wav,0.06333,0.95,good
XC109299_chunk_011.wav,0.008709,0.0998,good
XC109299_chunk_012.wav,0.041325,0.6758,good
XC109299_chunk_013.wav,0.04066,0.6758,good
XC109299_chunk_014.wav,0.003385,0.0538,low_energy
XC109299_chunk_015.wav,0.00482,0.0844,low_energy
XC109299_chunk_016.wav,0.004607,0.0844,low_energy
XC109299_chunk_017.wav,0.003623,0.0486,low_energy
XC109299_chunk_018.wav,0.010192,0.1142,good
XC109299_chunk_019.wav,0.01586,0.2406,good
XC109299_chunk_020.wav,0.012706,0.2406,good
XC109299_chunk_021.wav,0.011663,0.1858,good
XC109299_chunk_022.wav,0.012637,0.1858,good
XC109299_chunk_023.wav,0.007881,0.1318,good
XC109299_chunk_024.wav,0.010383,0.1156,good
XC109299_chunk_025.wav,0.01021,0.104,good
XC109299_chunk_026.wav,0.006682,0.0941,good
XC109299_chunk_027.wav,0.067979,0.8496,good
XC109299_chunk_028.wav,0.068202,0.8496,good
XC109299_chunk_029.wav,0.013011,0.1884,good
XC109299_chunk_030.wav,0.012493,0.1884,good
XC109299_chunk_031.wav,0.068901,0.848,good
XC109299_chunk_032.wav,0.070616,0.848,good
XC109299_chunk_033.wav,0.027348,0.2901,good
XC109299_chunk_034.wav,0.030047,0.3493,good
XC109299_chunk_035.wav,0.027194,0.3493,good
XC109299_chunk_036.wav,0.021303,0.2256,good
XC109299_chunk_037.wav,0.047745,0.6727,good
XC109299_chunk_038.wav,0.048741,0.6727,good
XC109299_chunk_039.wav,0.020993,0.2528,good
XC109299_chunk_040.wav,0.029773,0.4556,good
XC109299_chunk_041.wav,0.0319,0.4556,good
XC109299_chunk_042.wav,0.065448,0.7942,good
XC109299_chunk_043.wav,0.063078,0.7942,good
XC109299_chunk_044.wav,0.01762,0.2516,good
XC109299_chunk_045.wav,0.0233,0.2516,good
XC109300_chunk_001.wav,0.086966,0.6481,good
XC109300_chunk_002.wav,0.134436,0.95,good
XC109300_chunk_003.wav,0.146537,0.95,good
XC109300_chunk_004.wav,0.123815,0.679,good
XC109300_chunk_005.wav,0.12835,0.679,good
XC109300_chunk_006.wav,0.140518,0.6846,good
XC109300_chunk_007.wav,0.145754,0.7844,good
XC109300_chunk_008.wav,0.149269,0.7844,good
XC109300_chunk_009.wav,0.17393,0.7058,good
XC109300_chunk_010.wav,0.157825,0.7058,good
XC109300_chunk_011.wav,0.104858,0.6685,good
XC109300_chunk_012.wav,0.090298,0.7269,good
XC109300_chunk_013.wav,0.100009,0.8012,good
XC109300_chunk_014.wav,0.082861,0.8012,good
XC109300_chunk_015.wav,0.098792,0.7037,good
XC109300_chunk_016.wav,0.12221,0.8122,good
XC109300_chunk_017.wav,0.08644,0.8122,good
XC109301_chunk_001.wav,0.078339,0.95,good
XC109301_chunk_002.wav,0.026288,0.1656,good
XC109301_chunk_003.wav,0.04041,0.41,good
XC109301_chunk_004.wav,0.041008,0.41,good
XC109305_chunk_001.wav,0.173607,0.95,good
XC109305_chunk_002.wav,0.150556,0.943,good
XC109305_chunk_003.wav,0.121756,0.7014,good
XC109305_chunk_004.wav,0.12912,0.7014,good
XC109305_chunk_005.wav,0.088645,0.672,good
XC109305_chunk_006.wav,0.056546,0.4388,good
XC109305_chunk_007.wav,0.062621,0.3921,good
XC109305_chunk_008.wav,0.081703,0.7166,good
XC109305_chunk_009.wav,0.080078,0.7166,good
XC109305_chunk_010.wav,0.075898,0.5307,good
XC109305_chunk_011.wav,0.086393,0.5307,good
XC109305_chunk_012.wav,0.099173,0.6274,good
XC109305_chunk_013.wav,0.110188,0.6274,good
XC109305_chunk_014.wav,0.116731,0.5984,good
XC109305_chunk_015.wav,0.092379,0.5734,good
XC109305_chunk_016.wav,0.027533,0.2568,good
XC109306_chunk_001.wav,0.093374,0.6793,good
XC109306_chunk_002.wav,0.085982,0.7463,good
XC109306_chunk_003.wav,0.08681,0.7463,good
XC109306_chunk_004.wav,0.091202,0.7182,good
XC109306_chunk_005.wav,0.102009,0.6837,good
XC109306_chunk_006.wav,0.098289,0.6837,good
XC109306_chunk_007.wav,0.103498,0.6266,good
XC109306_chunk_008.wav,0.123532,0.8298,good
XC109306_chunk_009.wav,0.14174,0.95,good
XC109306_chunk_010.wav,0.122078,0.95,good
XC109306_chunk_011.wav,0.064066,0.759,good
XC109314_chunk_001.wav,0.106834,0.95,good
XC109601_chunk_001.wav,0.155849,0.95,good
