,precision,recall,f1-score,support
Selasphorus platycercus,0.949438202247191,0.8894736842105263,0.9184782608695652,190.0
Botaurus lentiginosus,0.8867924528301887,0.94,0.912621359223301,50.0
Coccyzus erythropthalmus,0.945054945054945,0.8775510204081632,0.91005291005291,98.0
Cyanocitta cristata,0.873015873015873,0.9401709401709402,0.9053497942386831,117.0
Anthus rubescens,0.8771929824561403,0.8928571428571429,0.8849557522123894,56.0
Sayornis nigricans,0.8240740740740741,0.9368421052631579,0.8768472906403941,95.0
Myiarchus cinerascens,0.9210526315789473,0.8118556701030928,0.863013698630137,388.0
Spizelloides arborea,0.8734939759036144,0.8238636363636364,0.847953216374269,176.0
Archilochus alexandri,0.803030303030303,0.8833333333333333,0.8412698412698413,60.0
Corvus brachyrhynchos,0.8969072164948454,0.7909090909090909,0.8405797101449275,220.0
Psaltriparus minimus,0.7857142857142857,0.88,0.8301886792452831,75.0
Calypte anna,0.7959183673469388,0.8666666666666667,0.8297872340425532,180.0
Calidris bairdii,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
Setophaga fusca,0.7572254335260116,0.8562091503267973,0.803680981595092,153.0
Pheucticus melanocephalus,0.8173913043478261,0.7899159663865546,0.8034188034188035,119.0
Empidonax alnorum,0.7366771159874608,0.8514492753623188,0.7899159663865546,276.0
Toxostoma rufum,0.7731958762886598,0.8064516129032258,0.7894736842105263,93.0
Spinus tristis,0.7134502923976608,0.8356164383561644,0.7697160883280757,146.0
Setophaga ruticilla,0.8571428571428571,0.6976744186046512,0.7692307692307693,172.0
Amphispiza bilineata,0.792,0.717391304347826,0.752851711026616,138.0
Polioptila caerulea,0.6111111111111112,0.9705882352941176,0.75,34.0
Scolopax minor,0.9666666666666667,0.6105263157894737,0.7483870967741936,190.0
Spizella breweri,0.7665505226480837,0.707395498392283,0.7357859531772575,311.0
Setophaga virens,0.7073170731707317,0.7483870967741936,0.7272727272727273,155.0
Chroicocephalus philadelphia,0.6551724137931034,0.7916666666666666,0.7169811320754716,24.0
Thryomanes bewickii,0.559748427672956,0.9468085106382979,0.7035573122529645,94.0
Poecile atricapillus,0.6206896551724138,0.7912087912087912,0.6956521739130435,91.0
Falco sparverius,0.5409836065573771,0.9428571428571428,0.6875,35.0
Passerina caerulea,0.7194244604316546,0.6493506493506493,0.6825938566552902,154.0
Mareca americana,0.6363636363636364,0.7,0.6666666666666666,10.0
Riparia riparia,0.5172413793103449,0.9375,0.6666666666666666,16.0
Setophaga striata,0.797979797979798,0.5683453237410072,0.6638655462184874,139.0
Spatula discors,0.8148148148148148,0.559322033898305,0.6633165829145728,118.0
Vireo solitarius,0.6994535519125683,0.6274509803921569,0.661498708010336,204.0
Dolichonyx oryzivorus,0.6376811594202898,0.676923076923077,0.6567164179104478,65.0
Setophaga caerulescens,0.48214285714285715,0.7714285714285715,0.5934065934065934,70.0
Buteo platypterus,0.6585365853658537,0.5094339622641509,0.574468085106383,53.0
Turdus migratorius,0.7216494845360825,0.46357615894039733,0.5645161290322581,151.0
Euphagus cyanocephalus,0.85,0.4146341463414634,0.5573770491803278,41.0
Megaceryle alcyon,0.45714285714285713,0.6956521739130435,0.5517241379310345,23.0
Molothrus ater,0.4358974358974359,0.6986301369863014,0.5368421052631579,73.0
Certhia americana,0.4482758620689655,0.65,0.5306122448979592,40.0
Icterus bullockii,0.64,0.4507042253521127,0.5289256198347108,71.0
Haliaeetus leucocephalus,0.40816326530612246,0.625,0.49382716049382713,32.0
Icterus galbula,0.4690265486725664,0.44537815126050423,0.45689655172413796,119.0
Pica hudsonia,0.5454545454545454,0.2727272727272727,0.36363636363636365,44.0
Recurvirostra americana,0.21052631578947367,1.0,0.34782608695652173,4.0
Artemisiospiza belli,0.19047619047619047,0.7692307692307693,0.3053435114503817,26.0
Mniotilta varia,0.1951219512195122,0.25,0.2191780821917808,32.0
Vermivora cyanoptera,0.1875,0.05660377358490566,0.08695652173913043,53.0
Hirundo rustica,0.09090909090909091,0.07692307692307693,0.08333333333333333,13.0
Setophaga nigrescens,0.10526315789473684,0.06451612903225806,0.08,31.0
Strix varia,0.0847457627118644,0.07142857142857142,0.07751937984496124,70.0
Bucephala albeola,0.0,0.0,0.0,4.0
