species,english_name,train_samples,val_samples,test_samples,total_samples,f1_score,precision,recall,test_correct,test_incorrect,confused_with
Myiarchus cinerascens,Ash-throated Flycatcher,1434,290,371,2095,0.9394736842105263,0.9177377892030848,0.9622641509433962,357,14,"Scolopax minor (2), Calypte anna (2), Setophaga fusca (1)"
Polioptila caerulea,Blue-gray Gnatcatcher,624,45,274,943,0.9256505576208178,0.9431818181818182,0.9087591240875912,249,25,"Poecile atricapillus (8), Mniotilta varia (5), Toxostoma rufum (3)"
Corvus brachyrhynchos,American Crow,510,188,182,880,0.9111747851002864,0.9520958083832336,0.8736263736263736,159,23,"Coccyzus erythropthalmus (11), Cyanocitta cristata (4), Spizella breweri (3)"
Selasphorus platycercus,Broad-tailed Hummingbird,477,139,111,727,0.8604651162790697,0.7551020408163265,1.0,111,0,None
Artemisiospiza belli,Bell's Sparrow,838,114,133,1085,0.8489208633093526,0.8137931034482758,0.8872180451127819,118,15,"Calypte anna (9), Spizella breweri (3), Psaltriparus minimus (2)"
Spizella breweri,Brewer's Sparrow,1250,147,402,1799,0.8351063829787234,0.8971428571428571,0.7810945273631841,314,88,"Artemisiospiza belli (16), Calypte anna (15), Myiarchus cinerascens (14)"
Empidonax alnorum,Alder Flycatcher,804,107,210,1121,0.8202764976958525,0.7946428571428571,0.8476190476190476,178,32,"Spizella breweri (10), Setophaga ruticilla (10), Setophaga striata (3)"
Archilochus alexandri,Black-chinned Hummingbird,258,68,38,364,0.8157894736842105,0.8157894736842105,0.8157894736842105,31,7,"Setophaga fusca (2), Setophaga caerulescens (2), Certhia americana (1)"
Vireo solitarius,Blue-headed Vireo,540,75,82,697,0.8117647058823529,0.7840909090909091,0.8414634146341463,69,13,"Icterus galbula (8), Setophaga virens (1), Setophaga fusca (1)"
Sayornis nigricans,Black Phoebe,439,83,103,625,0.7844827586206896,0.7054263565891473,0.883495145631068,91,12,"Setophaga fusca (7), Certhia americana (2), Myiarchus cinerascens (1)"
Setophaga ruticilla,American Redstart,549,92,93,734,0.7777777777777778,0.8045977011494253,0.7526881720430108,70,23,"Setophaga fusca (11), Setophaga virens (5), Vireo solitarius (3)"
Pheucticus melanocephalus,Black-headed Grosbeak,347,88,109,544,0.7647058823529411,0.7054263565891473,0.8348623853211009,91,18,"Certhia americana (6), Toxostoma rufum (3), Cyanocitta cristata (2)"
Poecile atricapillus,Black-capped Chickadee,399,66,143,608,0.7628865979381443,0.75,0.7762237762237763,111,32,"Amphispiza bilineata (7), Riparia riparia (6), Psaltriparus minimus (4)"
Pica hudsonia,Black-billed Magpie,254,11,31,296,0.7586206896551724,0.8148148148148148,0.7096774193548387,22,9,"Scolopax minor (2), Thryomanes bewickii (1), Artemisiospiza belli (1)"
Icterus galbula,Baltimore Oriole,399,47,142,588,0.743421052631579,0.6975308641975309,0.795774647887324,113,29,"Turdus migratorius (15), Passerina caerulea (4), Setophaga striata (3)"
Dolichonyx oryzivorus,Bobolink,494,235,100,829,0.7368421052631579,0.7777777777777778,0.7,70,30,"Thryomanes bewickii (13), Euphagus cyanocephalus (4), Spizella breweri (4)"
Amphispiza bilineata,Black-throated Sparrow,343,91,51,485,0.734375,0.6103896103896104,0.9215686274509804,47,4,"Spatula discors (1), Buteo platypterus (1), Artemisiospiza belli (1)"
Vermivora cyanoptera,Blue-winged Warbler,304,83,50,437,0.7241379310344828,0.6363636363636364,0.84,42,8,"Turdus migratorius (3), Selasphorus platycercus (1), Scolopax minor (1)"
Icterus bullockii,Bullock's Oriole,288,82,96,466,0.7167630057803468,0.8051948051948052,0.6458333333333334,62,34,"Recurvirostra americana (8), Turdus migratorius (7), Toxostoma rufum (5)"
Calypte anna,Anna's Hummingbird,768,105,141,1014,0.7154929577464789,0.5934579439252337,0.900709219858156,127,14,"Setophaga nigrescens (7), Selasphorus platycercus (2), Poecile atricapillus (1)"
Psaltriparus minimus,Bushtit,325,54,44,423,0.6947368421052632,0.6470588235294118,0.75,33,11,"Calypte anna (8), Mniotilta varia (2), Thryomanes bewickii (1)"
Cyanocitta cristata,Blue Jay,382,104,72,558,0.6825396825396826,0.7962962962962963,0.5972222222222222,43,29,"Icterus galbula (7), Strix varia (7), Haliaeetus leucocephalus (7)"
Falco sparverius,American Kestrel,104,11,43,158,0.6756756756756757,0.8064516129032258,0.5813953488372093,25,18,"Archilochus alexandri (4), Certhia americana (3), Setophaga fusca (3)"
Setophaga fusca,Blackburnian Warbler,524,58,110,692,0.6558441558441559,0.51010101010101,0.9181818181818182,101,9,"Setophaga virens (3), Setophaga striata (2), Certhia americana (1)"
Setophaga striata,Blackpoll Warbler,646,208,183,1037,0.6475644699140402,0.6807228915662651,0.6174863387978142,113,70,"Setophaga fusca (11), Icterus bullockii (8), Poecile atricapillus (7)"
Setophaga caerulescens,Black-throated Blue Warbler,227,69,86,382,0.6415094339622641,0.6986301369863014,0.5930232558139535,51,35,"Sayornis nigricans (18), Setophaga fusca (8), Poecile atricapillus (3)"
Thryomanes bewickii,Bewick's Wren,575,107,122,804,0.6296296296296297,0.5743243243243243,0.6967213114754098,85,37,"Certhia americana (8), Poecile atricapillus (8), Chroicocephalus philadelphia (6)"
Scolopax minor,American Woodcock,546,274,108,928,0.609271523178808,0.4742268041237113,0.8518518518518519,92,16,"Strix varia (5), Pica hudsonia (4), Toxostoma rufum (2)"
Botaurus lentiginosus,American Bittern,218,34,20,272,0.6071428571428571,0.4722222222222222,0.85,17,3,Mareca americana (3)
Spinus tristis,American Goldfinch,823,209,247,1279,0.6031746031746031,0.8702290076335878,0.4615384615384615,114,133,"Hirundo rustica (30), Thryomanes bewickii (16), Dolichonyx oryzivorus (13)"
Setophaga virens,Black-throated Green Warbler,546,115,107,768,0.5866666666666667,0.559322033898305,0.616822429906542,66,41,"Icterus galbula (13), Setophaga striata (10), Buteo platypterus (10)"
Euphagus cyanocephalus,Brewer's Blackbird,174,64,23,261,0.5862068965517241,0.4857142857142857,0.7391304347826086,17,6,"Molothrus ater (2), Calypte anna (1), Spinus tristis (1)"
Spatula discors,Blue-winged Teal,151,42,125,318,0.5814977973568282,0.6470588235294118,0.528,66,59,"Thryomanes bewickii (17), Riparia riparia (6), Buteo platypterus (5)"
Certhia americana,Brown Creeper,404,88,73,565,0.5766871165644172,0.5222222222222223,0.6438356164383562,47,26,"Spizelloides arborea (8), Spinus tristis (5), Scolopax minor (3)"
Spizelloides arborea,American Tree Sparrow,654,119,83,856,0.5747126436781609,0.5494505494505495,0.6024096385542169,50,33,"Amphispiza bilineata (11), Anthus rubescens (5), Certhia americana (4)"
Anthus rubescens,American Pipit,136,39,26,201,0.5660377358490566,0.5555555555555556,0.5769230769230769,15,11,"Amphispiza bilineata (9), Spizelloides arborea (1), Sayornis nigricans (1)"
Megaceryle alcyon,Belted Kingfisher,293,34,109,436,0.543778801843318,0.5462962962962963,0.5412844036697247,59,50,"Vireo solitarius (7), Vermivora cyanoptera (7), Setophaga fusca (5)"
Calidris bairdii,Baird's Sandpiper,96,22,25,143,0.5116279069767442,0.6111111111111112,0.44,11,14,"Recurvirostra americana (8), Scolopax minor (5), Mareca americana (1)"
Coccyzus erythropthalmus,Black-billed Cuckoo,191,89,25,305,0.5,0.3953488372093023,0.68,17,8,"Vermivora cyanoptera (2), Haliaeetus leucocephalus (2), Setophaga striata (1)"
Mareca americana,American Wigeon,107,68,10,185,0.48,0.4,0.6,6,4,"Setophaga striata (1), Botaurus lentiginosus (1), Strix varia (1)"
Buteo platypterus,Broad-winged Hawk,370,24,83,477,0.4615384615384615,0.55,0.3975903614457831,33,50,"Setophaga virens (25), Strix varia (6), Molothrus ater (4)"
Mniotilta varia,Black-and-white Warbler,440,86,114,640,0.4363636363636363,0.7058823529411765,0.3157894736842105,36,78,"Empidonax alnorum (18), Setophaga fusca (11), Setophaga virens (11)"
Setophaga nigrescens,Black-throated Gray Warbler,280,180,105,565,0.4189189189189189,0.7209302325581395,0.2952380952380952,31,74,"Calypte anna (38), Thryomanes bewickii (7), Certhia americana (7)"
Toxostoma rufum,Brown Thrasher,685,83,63,831,0.404040404040404,0.2962962962962963,0.6349206349206349,40,23,"Pheucticus melanocephalus (11), Coccyzus erythropthalmus (4), Icterus galbula (3)"
Chroicocephalus philadelphia,Bonaparte's Gull,237,27,18,282,0.367816091954023,0.2318840579710145,0.8888888888888888,16,2,Icterus galbula (2)
Molothrus ater,Brown-headed Cowbird,499,63,279,841,0.3287671232876712,0.6976744186046512,0.2150537634408602,60,219,"Scolopax minor (53), Toxostoma rufum (51), Strix varia (31)"
Strix varia,Barred Owl,432,31,76,539,0.3109243697478991,0.228395061728395,0.4868421052631579,37,39,"Setophaga striata (25), Scolopax minor (11), Spatula discors (2)"
Turdus migratorius,American Robin,592,47,44,683,0.2429906542056074,0.2063492063492063,0.2954545454545454,13,31,"Setophaga fusca (28), Bucephala albeola (1), Certhia americana (1)"
Riparia riparia,Bank Swallow,693,31,44,768,0.1904761904761904,0.3157894736842105,0.1363636363636363,6,38,"Chroicocephalus philadelphia (35), Spatula discors (1), Megaceryle alcyon (1)"
Recurvirostra americana,American Avocet,108,12,8,128,0.1714285714285714,0.1111111111111111,0.375,3,5,"Spatula discors (4), Calidris bairdii (1)"
Passerina caerulea,Blue Grosbeak,478,44,20,542,0.1428571428571428,0.1363636363636363,0.15,3,17,"Sayornis nigricans (7), Botaurus lentiginosus (4), Scolopax minor (2)"
Haliaeetus leucocephalus,Bald Eagle,167,74,122,363,0.1132075471698113,0.2432432432432432,0.0737704918032786,9,113,"Strix varia (67), Toxostoma rufum (24), Scolopax minor (12)"
Hirundo rustica,Barn Swallow,163,48,22,233,0.0,0.0,0.0,0,22,"Euphagus cyanocephalus (8), Turdus migratorius (5), Thryomanes bewickii (3)"
Bucephala albeola,Bufflehead,45,4,57,106,0.0,0.0,0.0,0,57,"Megaceryle alcyon (34), Haliaeetus leucocephalus (7), Mareca americana (4)"
